name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Satin PSICODELIC,Satin Psicodelic,Sunni Colón,2018-08-29,304481,40,0.00798,0.626,0.776,0.0343,0.125,-10.444,0.033,103.047,0.564,4,5,0,spotify:track:6ZaWiYupgo7KAl7uZTQklx,2018
My Smile Is A Rifle,Niandra LaDes And Usually Just A T-Shirt,John Frusciante,1994,227733,40,0.807,0.466,0.209,0.853,0.109,-16.003,0.037,119.683,0.0382,3,9,0,spotify:track:3IfJJ9q7FBs3EfveyJ6HnW,1994
Sacrificio,Sacrificio (Original Motion Picture Soundtrack),DKMD,2016-11-24,432991,0,2.92e-05,0.525,0.816,0.891,0.657,-7.587,0.0299,110.01,0.423,4,2,1,spotify:track:5vKOpiag0dlR8zuQ4qA6sR,2016
Hyper Chondriac Music,Hullabaloo Soundtrack (Eastwest Release),Muse,2002,329866,35,0.0142,0.312,0.48,0.424,0.188,-8.744,0.0363,135.84,0.122,4,2,0,spotify:track:45VjXNcZsV6Kh28MIracsd,2002
My Love Turns to Liquid,Dream 2 Science,Dream 2 Science,2012-12-25,322992,31,0.00281,0.837,0.596,0.809,0.103,-10.646,0.0825,120.305,0.244,4,6,1,spotify:track:0YQ2IRqkQjdeBppIJeNiwx,2012
My Little Proud Bird,It's Zwanietime,Zwanie Jonson,2007-06-08,348173,0,0.866,0.585,0.591,0.877,0.102,-8.258,0.0313,93.681,0.459,4,5,1,spotify:track:1XwvVu9HIUm6uQAWioWupo,2007
Tap Out (feat. Jeremih),Redemption,Jay Rock,2018-06-15,199960,59,0.105,0.676,0.62,0.0,0.211,-6.343,0.0562,100.06,0.607,4,5,0,spotify:track:2YaOQzBkhejBu5d4CyGsfS,2018
Reverse Shark Attack,Reverse Shark Attack,Ty Segall,2009,622293,18,0.0882,0.308,0.705,0.318,0.0356,-6.084,0.0662,104.865,0.144,4,9,1,spotify:track:64U5bZRudaaTYc4WaswtE7,2009
I Cry (Night after Night),On the Nile,The Egyptian Lover,1984-01-01,304213,36,0.182,0.713,0.46,0.897,0.094,-10.346,0.0426,135.482,0.483,4,2,1,spotify:track:6W03BOggURVJECgPfpz7Gh,1984
make a move,_songs,nørus,2018-01-03,456000,40,0.00202,0.718,0.927,0.854,0.48,-6.389,0.0877,128.006,0.766,4,11,0,spotify:track:7tasT0r0WpnfYSVfDc3UUK,2018
Mike D's Coke,Melted,Ty Segall,2010-05-25,90200,24,8.89e-05,0.313,0.8,0.711,0.142,-7.856,0.063,118.823,0.359,3,1,0,spotify:track:1JlgC03esFgTVJ0FUw6nVI,2010
Endless Running,Universal Ave,Double Fantasy,1990,493800,6,0.357,0.328,0.944,0.879,0.342,-12.743,0.152,95.872,0.101,4,4,0,spotify:track:00WaVaHZXOFosuR2WK4vCr,1990
Window Eyes,Sensitive G,Eyedress,2018-11-16,148526,0,0.0314,0.466,0.813,0.0427,0.212,-6.647,0.0613,161.031,0.577,4,1,1,spotify:track:56W2zHnMAbrINKgfYjeW6u,2018
B3,ZDBT,ZDBT,2019-02-20,384465,0,0.854,0.24,0.0263,0.965,0.3,-36.043,0.0372,86.788,0.403,4,3,1,spotify:track:5DyglaLMyocys5EFY9Xhck,2019
Homesick,Amygdala,DJ Koze,2013-03-22,251560,28,0.112,0.793,0.456,0.000416,0.311,-10.302,0.264,97.008,0.602,4,5,1,spotify:track:6KWgA6JYdy9aWzwRlDSeo7,2013
Day Dreaming,Day Dreaming (Afrodeutsche Remix),Marie Davidson,2019-01-29,252562,0,0.926,0.35,0.193,0.329,0.094,-16.293,0.0351,70.718,0.296,3,0,0,spotify:track:022vRJIEmCSlBgjty4AYiK,2019
Assume Form,Assume Form,James Blake,2019-01-18,289600,36,0.886,0.413,0.349,0.000195,0.091,-10.361,0.0628,139.274,0.148,4,4,0,spotify:track:6cJrQc34txUzXd90xWEAOh,2019
More,Flamagra,Flying Lotus,2019-05-24,257587,44,0.173,0.714,0.805,0.0276,0.106,-5.589,0.062,96.983,0.359,4,11,0,spotify:track:5vvxulBeCeY49Ha3JThZMj,2019
Just Like Tropica-L,Bad Pop,Soft Powers,2014-07-09,156196,0,0.199,0.681,0.494,0.613,0.184,-11.052,0.0457,99.993,0.615,4,9,1,spotify:track:4kRLPVbLhgJPGB4skGkNCu,2014
