name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Ramona,Reverse Shark Attack,Ty Segall,2009,82706,16,0.168,0.301,0.881,0.802,0.302,-2.049,0.0561,108.185,0.136,4,9,1,spotify:track:3argt9XMwJX9RJgQ1zfusL,2009
Exogenesis: Symphony Pt. 1 (Overture),The Resistance,Muse,2009-09-10,258440,47,0.00689,0.262,0.474,0.84,0.169,-9.079,0.0359,120.326,0.047,3,5,1,spotify:track:6zkhhG8iQ8waiwGkQuhoE1,2009
Satin PSICODELIC,Satin Psicodelic,Sunni Colón,2018-08-29,304481,40,0.00798,0.626,0.776,0.0343,0.125,-10.444,0.033,103.047,0.564,4,5,0,spotify:track:6ZaWiYupgo7KAl7uZTQklx,2018
What's Your Voodoo?,What's Your Voodoo?,Ghia,1991-01-01,253940,15,0.823,0.789,0.565,0.437,0.0656,-11.106,0.0418,151.445,0.676,4,9,0,spotify:track:72OSFzfEnclbsL3ItKETuX,1991
Plug in Baby,Origin of Symmetry,Muse,2001,218000,52,6.94e-06,0.408,0.965,0.000402,0.11,-4.232,0.05,136.018,0.349,4,2,1,spotify:track:429MqIq5nGH32feyRZHunv,2001
Since You Asked Kindly,III,BADBADNOTGOOD,2014-01-01,281480,0,0.0305,0.485,0.81,0.849,0.0962,-8.531,0.039,130.581,0.226,4,4,0,spotify:track:6f9rhCHzMHhqGULOcgYENy,2014
Sister and Suns,Dynasty House,Hooded Fang,2017-05-19,229266,6,0.172,0.552,0.952,0.701,0.203,-5.612,0.0494,98.432,0.61,4,4,0,spotify:track:3PPpW51jy5kjh5XKwWHzVF,2017
Only If,Apollo XXI,Steve Lacy,2019-05-24,100562,56,0.105,0.811,0.401,0.0,0.0785,-4.909,0.0409,86.023,0.815,4,4,1,spotify:track:0AzacpqYhvdOSbFvJ6eCKr,2019
Megalomania,Origin of Symmetry,Muse,2001,279906,32,0.0326,0.189,0.304,0.824,0.315,-11.897,0.032,145.76,0.0899,4,4,0,spotify:track:2Ql35D6jSAcDyLnQGsD6ie,2001
It's a Rainy Day on the Cosmic Shore,~~~,Ana Roxanne,2019-03-15,320093,0,0.87,0.105,0.736,0.971,0.141,-21.123,0.261,166.857,0.0694,4,4,1,spotify:track:4bRd0QUtM20qMLVIWTW5gZ,2019
Wasteland,Gravez,Hooded Fang,2013-05-28,176717,24,0.275,0.477,0.922,0.587,0.323,-4.498,0.0536,94.502,0.66,4,9,1,spotify:track:38ujmAPK6twhEnjgEQRGwG,2013
Actriz,Double invitation,Femminielli,2012-11-12,422570,0,0.244,0.2,0.71,0.881,0.11,-4.238,0.0338,139.901,0.0383,4,2,1,spotify:track:6Sy6kKN5NeHZx71UkWeY4x,2012
Hyper Chondriac Music,Hullabaloo Soundtrack (Eastwest Release),Muse,2002,329866,35,0.0142,0.312,0.48,0.424,0.188,-8.744,0.0363,135.84,0.122,4,2,0,spotify:track:45VjXNcZsV6Kh28MIracsd,2002
Tears,Careful,Boy Harsher,2019-02-01,297456,45,0.16,0.744,0.944,0.785,0.053,-6.067,0.0367,130.012,0.937,4,8,1,spotify:track:4M66Umj8LV4XC9z4O3D5sn,2019
Ballad 5,Beacon,Tess Roby,2018-04-20,221178,19,0.849,0.807,0.437,0.0401,0.0738,-9.911,0.0372,121.678,0.516,4,7,1,spotify:track:7KjGm8NpjORONeyFqX2AAR,2018
Bodysnatchers,In Rainbows,Radiohead,2007-12-28,242293,0,0.00455,0.343,0.977,0.0197,0.0948,-4.993,0.0579,166.664,0.727,4,2,1,spotify:track:4m0Vgr48VFaMYw0Sp1ozJu,2007
A Brand New City,"Holiday in Panikstrasse, Part 1",Cosmo Vitelli,2019-05-31,270000,2,0.00353,0.747,0.46,0.793,0.0889,-11.293,0.0857,100.008,0.34,4,11,1,spotify:track:1QrikhIccabJulrOZAObMq,2019
Turn On the Radio - Original Mix,Nina Kraviz,Nina Kraviz,2012-02-27,214920,21,0.0727,0.846,0.439,0.15,0.0879,-14.887,0.0744,99.202,0.786,3,6,0,spotify:track:1SXRle2gIrEoyVlNeeFqnu,2012
La Cabellera de Berenice,Size,Size,2018-11-02,340473,26,0.000516,0.433,0.751,0.127,0.25,-6.568,0.0519,120.581,0.283,4,0,0,spotify:track:3ZziAteruFwMe0Kpi3JYbm,2018
Jigsaw Falling Into Place,In Rainbows,Radiohead,2007-12-28,248893,0,0.105,0.461,0.833,0.00419,0.0741,-6.082,0.0481,165.635,0.808,4,11,0,spotify:track:15ea10YpJIl3mJq75yzqsD,2007
New York City,NOW,Shari Vari,2019-09-13,229788,3,0.00122,0.546,0.572,0.714,0.158,-11.368,0.0338,102.01,0.18,4,9,1,spotify:track:1XWuTMXaXQtiearWy9V07q,2019
My Apartment,My Apartment,Zwanie Jonson,2020-04-30,173730,0,0.486,0.696,0.442,0.389,0.0952,-8.153,0.073,81.001,0.749,4,0,1,spotify:track:08IkYPqpLamlK6a3jHyPOu,2020
Wat Voel Je Nou,Duistre Kamers,De Ambassade,2019-09-09,196845,39,0.604,0.697,0.585,0.764,0.0763,-8.896,0.0368,136.99,0.369,4,0,1,spotify:track:2yRQzR66jyO3TscdeowP5E,2019
Beograd Spava,"O, Je!",U skripcu,1983-12-14,358106,10,0.774,0.161,0.26,0.899,0.0922,-12.807,0.0352,79.9,0.0666,4,2,0,spotify:track:4QupIZkjOX7d60bRGwpNK6,1983
Now - Fantastic Twins Remix,Now Remixes,Shari Vari,2020-05-22,425769,1,0.111,0.636,0.468,0.766,0.096,-16.354,0.0331,104.006,0.324,4,10,0,spotify:track:1sqXAOigReuKurFi5MaN4R,2020
Voetbalknieen - Front De Cadeaux Remix,Metempsycho EP,Mugwump,2016-11-04,491250,0,0.00676,0.841,0.535,0.854,0.115,-11.462,0.144,95.987,0.492,4,1,1,spotify:track:03tiQTw4uQV7DZjLtVAeQJ,2016
Nova Zen,Worst Greatest Hits Vol. 1,Various Artists,2020-02-06,385555,5,0.0357,0.713,0.68,0.714,0.109,-10.47,0.036,108.009,0.0386,4,2,1,spotify:track:3G5yWWStnfDF10GwYK1Yqh,2020
15 Step,In Rainbows,Radiohead,2007-12-28,237293,0,0.0489,0.6,0.853,0.346,0.0934,-7.584,0.0423,94.457,0.847,4,1,1,spotify:track:6dsq7Nt5mIFzvm5kIYNORy,2007
Fragments of Reality (feat. Fantastic Twins),"Holiday in Panikstrasse, Part 2",Cosmo Vitelli,2019-12-13,278250,1,0.166,0.547,0.599,0.918,0.12,-10.602,0.029,100.032,0.0777,4,8,1,spotify:track:6NsuaPeG4mc9dGYgGByLAS,2019
I Cry (Night after Night),On the Nile,The Egyptian Lover,1984-01-01,304213,36,0.182,0.713,0.46,0.897,0.094,-10.346,0.0426,135.482,0.483,4,2,1,spotify:track:6W03BOggURVJECgPfpz7Gh,1984
The Fear In My Heart,The Ship ReBuilt 2015,Luc Van Acker,2015-08-28,258106,1,0.0398,0.618,0.606,3.02e-06,0.137,-9.665,0.0535,169.655,0.833,4,7,1,spotify:track:6HtL8OR55KhMDvtlihoLGD,2015
Nuclear Sí,Opera Científica,Aviador Dro,1999-01-01,180733,26,0.00133,0.736,0.436,0.00011,0.0638,-11.008,0.0544,155.155,0.919,4,9,0,spotify:track:1LCsBA7FyU8gfkHvRg9VoS,1999
"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",3.15.20,Childish Gambino,2020-03-22,392186,60,0.197,0.691,0.524,4.29e-05,0.488,-9.718,0.16,164.047,0.41,4,5,1,spotify:track:011ZwIM48eD8ee2UBpG8nK,2020
I'm So Tired,Instrument Soundtrack,Fugazi,1999,118933,4,0.89,0.303,0.129,0.00776,0.123,-15.069,0.0301,84.167,0.155,4,6,1,spotify:track:5IafdoRLyaGPeeA6f8ysIe,1999
When I Was Done Dying,Gliss Riffer,Dan Deacon,2015-02-23,258959,50,0.0449,0.426,0.815,0.0307,0.104,-7.566,0.0666,195.123,0.297,3,6,1,spotify:track:69L4d5HlE0YOCwWFYVFGoW,2015
Walking in the Night - Original Mix,Nina Kraviz,Nina Kraviz,2012-02-27,255226,27,0.971,0.6,0.217,0.51,0.1,-20.608,0.0928,111.502,0.202,4,0,1,spotify:track:2DVxxnJXHhRZck3GH9wZM6,2012
L'Amour Pour Bouclier,Pour L'Amour,Elaine Kibaro,2019-07-30,258001,9,0.382,0.749,0.426,0.463,0.166,-12.845,0.0365,120.472,0.781,4,9,0,spotify:track:2JvDlmRtYS9zzCJAFKJ9QO,2019
Immortality,~~~,Ana Roxanne,2019-03-15,244000,0,0.97,0.166,0.0606,0.949,0.121,-21.935,0.0373,110.703,0.0465,4,0,0,spotify:track:75mMC2cnD58FHOrMGmxf6i,2019
Nene of the Light,Dynasty House,Hooded Fang,2017-05-19,384902,6,0.196,0.529,0.792,0.499,0.256,-5.883,0.0316,114.017,0.308,4,11,1,spotify:track:0OZQ1rBMQmixMWDWtZUgym,2017
Mike D's Coke,Melted,Ty Segall,2010-05-25,90200,24,8.89e-05,0.313,0.8,0.711,0.142,-7.856,0.063,118.823,0.359,3,1,0,spotify:track:1JlgC03esFgTVJ0FUw6nVI,2010
Felicita,Decadence,Deux,2010-06-01,182500,24,0.527,0.691,0.503,0.47,0.122,-8.557,0.0436,123.99,0.437,4,9,0,spotify:track:67RU90DYRSNXeI0hLUWiOy,2010
El Ultimo Tango para Mi,Double invitation,Femminielli,2012-11-12,394096,0,0.179,0.392,0.626,0.465,0.0874,-6.467,0.0326,179.982,0.288,4,2,1,spotify:track:1E1jR8xEBYXa5ObyOhg9Fp,2012
Camino Del Sol (Todd Terje Remix),Versions Speciales - Camino del Sol,Antena,2007-06-15,404200,33,0.33,0.699,0.853,0.723,0.0708,-7.014,0.0442,100.004,0.507,4,11,1,spotify:track:6Lim5LfM5LqHt5LfOTUkTG,2007
Margins,Retrospektiv,Thomas Brinkmann,2017-10-27,340586,10,0.118,0.869,0.423,0.618,0.0728,-13.135,0.3,163.991,0.793,4,5,0,spotify:track:1I3XBZ2G0ZfFVc1pVpdBR5,2017
Rolling Upon My Day,Dome 1,Dome,2019-03-29,226973,10,0.938,0.366,0.538,0.821,0.112,-15.213,0.0464,205.2,0.539,4,9,1,spotify:track:79cEvgXlvUt9hBLl7VoYaJ,2019
Slowness,~~~,Ana Roxanne,2019-03-15,260620,0,0.91,0.268,0.301,0.882,0.325,-18.905,0.0433,172.255,0.184,3,9,1,spotify:track:3ybKSVKVk8FhMxTNg9GwO5,2019
Square 1,Berlin Calling (The Soundtrack by Paul Kalkbrenner),Paul Kalkbrenner,2013-07-12,396431,48,0.0472,0.78,0.516,0.916,0.608,-13.058,0.0434,122.004,0.337,3,10,0,spotify:track:4YbpfJxlFMdRv4KH6DRhlX,2013
