name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
Chamäleon,Chamäleon,Esther Graf,2019-05-24,168082,0,0.1,0.703,0.558,0.0,0.174,-6.861,0.0399,130.041,0.328,4,6,0,spotify:track:1X4zczytYgZk0UGxaH9oYw
Gute Menschen,Zwei,OK KID,2016-04-08,227613,44,0.0591,0.795,0.685,0.00431,0.0816,-6.371,0.116,135.032,0.511,4,11,0,spotify:track:4zpZ0saTZ8f3GLiJPO7DG7
Live In Life,Live In Life,The Rubens,2019-11-13,216447,1,0.147,0.695,0.691,2.21e-06,0.152,-4.73,0.0351,104.015,0.563,4,5,0,spotify:track:5zpGxLGLxQvgQzO8jYTzAU
Fear of Falling Asleep (Henry Green Remix),Fear of Falling Asleep (Henry Green Remix),TENDER,2019-08-01,243760,24,0.791,0.642,0.372,0.081,0.142,-14.43,0.0401,116.034,0.0922,4,11,1,spotify:track:1TuqA75LagFurPtFGPQ0VG
Ne reviens pas,Zone 59,Gradur,2019-11-29,188613,60,0.212,0.932,0.778,0.0,0.168,-3.384,0.0638,124.996,0.933,4,10,0,spotify:track:4TnFANpjVwVKWzkxNzIyFH
Der Rest meines Lebens,KIOX,KUMMER,2019-10-10,168838,59,0.374,0.735,0.693,0.0,0.106,-7.469,0.153,134.994,0.284,4,8,1,spotify:track:6ezZTpRzpz97Ke3tCS6zpH
Your Love (Déjà Vu),Your Love (Déjà Vu),Glass Animals,2020-02-19,234372,60,0.019,0.854,0.671,0.383,0.105,-7.158,0.0543,107.994,0.631,4,7,1,spotify:track:5DYD4zlGiFlkpLaf2Bk8Vl
изумруд,ЯIAM,Manizha,2018-03-23,254386,34,0.21,0.51,0.555,0.31,0.104,-11.359,0.0477,137.559,0.192,4,7,1,spotify:track:4eWtfFuJUzj5Jq1Ecrsbyz
Bank,Zwei,OK KID,2016-04-08,245506,23,0.0734,0.637,0.578,0.000459,0.139,-7.767,0.0475,125.015,0.194,4,8,1,spotify:track:6HjPM1fi2zOEsLECmvz04f
Поезда,Поезда,Tima Belorusskih,2019-04-18,214508,0,0.24,0.82,0.512,0.0,0.0856,-8.74,0.3,129.982,0.553,4,11,0,spotify:track:5a6EUrT2wnLmlqBEGUkA2C
You Love Me,You Love Me,flora cash,2020-01-10,221640,29,0.363,0.542,0.49,0.0,0.108,-7.455,0.0276,114.041,0.24,4,9,0,spotify:track:49KpQCADAIEfKnmNa6QUXm
Sugarbabe,Sugarbabe,Rilès,2019-08-09,178906,31,0.455,0.773,0.453,4.69e-06,0.0853,-9.7,0.0673,75.985,0.558,4,11,0,spotify:track:6tETaJ828zTsyWrSikcpoC
Pretty Great,Pretty Great,Fickle Friends,2020-01-17,213053,47,0.333,0.802,0.529,0.000469,0.23,-6.044,0.0425,130.045,0.959,4,1,1,spotify:track:5OEh0t74eilX1HnfVy9E4g
Tokyo Drifting (with Denzel Curry),Tokyo Drifting,Glass Animals,2019-11-13,217693,57,0.0816,0.708,0.496,0.000109,0.102,-8.175,0.0496,128.914,0.412,4,8,0,spotify:track:3AHqaOkEFKZ6zEHdiplIv7
Увезите меня на Дип-хаус,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,2019-10-04,176640,52,0.0759,0.663,0.731,0.0,0.203,-5.983,0.0665,124.914,0.39,4,11,0,spotify:track:6Dh32tS5znKbryJdHXSRrC
RUN!,WELCOME TO THE JUNGLE (Deluxe),Rilès,2019-08-30,240173,35,0.0644,0.733,0.523,2.89e-06,0.327,-9.403,0.0399,130.951,0.706,4,9,0,spotify:track:1jYl3OVX97ocV5dTR8dfuB
Handmade Ego,Fear of Falling Asleep,TENDER,2019-01-18,309640,31,0.133,0.638,0.754,0.0517,0.48,-5.174,0.0345,120.021,0.688,4,7,0,spotify:track:4VY23BqiVPmK7WGOJHCtNz
Insomnies,Brol La Suite,Angèle,2019-11-07,212733,51,0.65,0.496,0.339,4.94e-05,0.0945,-10.512,0.0426,59.706,0.169,4,10,0,spotify:track:0YeJcZKvg8GtPk8s4yUrpr
BLUE,BLUE,Zaia,2019-03-29,137183,45,0.00722,0.833,0.807,0.0644,0.119,-4.187,0.0552,115.954,0.926,4,8,1,spotify:track:3ne8aXLTHtwrdtpItqCgfT
Coco Chanel,Bling Bling,Juju,2019-06-14,148673,48,0.372,0.835,0.711,0.0,0.0972,-5.599,0.0702,130.072,0.336,4,1,1,spotify:track:1FZtSAittCPqEabWPAVvdA
Dreamland,Dreamland,Glass Animals,2020-05-01,203492,45,0.883,0.253,0.352,0.00191,0.0668,-11.509,0.0357,141.97,0.099,5,8,1,spotify:track:5Bkw0lMhwk8tF4kMgCCJLv
KRIMINELL,KRIMINELL,Kianush,2020-02-06,186403,0,0.182,0.808,0.691,0.0,0.231,-6.777,0.0898,114.957,0.615,4,2,0,spotify:track:3ecKtWMr8HK99YOs7L6Ps3
Won't Let You,Won't Let You,MorMor,2019-10-11,205889,40,0.609,0.432,0.497,0.000112,0.137,-8.433,0.138,124.526,0.24,5,8,1,spotify:track:1DvbkyyN4jCcffDbD7mJEC
Tes parents (feat. Ninho),TRAP$TAR 2,Leto,2019-07-05,214320,64,0.256,0.833,0.688,0.0,0.373,-7.3,0.245,125.022,0.534,4,0,0,spotify:track:0G0ZyEQyc3IBcRnYCvtTwb
Dream World,Dream World,The Growlers,2020-05-08,198933,38,0.000878,0.438,0.9,0.00548,0.0725,-5.542,0.0379,138.374,0.867,4,6,0,spotify:track:3HlM5CBcbCjbSupnIB42d4
Podruga,Podruga,Gruppa Skryptonite,2019-03-06,248995,48,0.00532,0.815,0.552,0.000683,0.205,-12.994,0.0358,114.024,0.54,4,11,0,spotify:track:2G83i2D30HWFQuXRku0zIY
everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,86,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006,0.243,4,6,0,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ
Istanbul,Istanbul,Bahjat,2019-08-22,145951,0,0.0893,0.727,0.724,3.95e-06,0.0886,-5.084,0.0806,136.989,0.668,4,8,1,spotify:track:18loeUgThthiQpVNKqoZUP
Fear of Falling Asleep,Fear of Falling Asleep,TENDER,2019-01-18,250506,33,0.0169,0.651,0.506,0.501,0.109,-9.658,0.0317,116.007,0.272,4,8,0,spotify:track:0wCxEG4N5tPF2Chr5aI6AH
Rhinestoned,Rhinestoned,Randy Rogers,2020-04-17,224468,35,0.112,0.582,0.6,2.32e-06,0.142,-6.127,0.0238,105.991,0.377,4,4,1,spotify:track:7m5sOfZ6VmMbKyrccgPEDN
Airwaves,Airwaves,Pashanim,2020-05-14,178932,68,0.0739,0.885,0.578,0.0903,0.102,-7.416,0.0783,131.999,0.388,4,5,0,spotify:track:5CqkgDH8QZjSqqI3HmYxDD
Claudia,Claudia,FINNEAS,2019-02-22,161876,55,0.552,0.812,0.447,0.0,0.323,-7.629,0.0765,125.075,0.703,4,11,0,spotify:track:04oG24PjVs59q72Id8wXFK
