name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
Rose Golden,"Passion, Pain & Demon Slayin'",Kid Cudi,2016-12-16,277813,63,0.426,0.594,0.762,0.0,0.085,-7.951,0.0899,139.932,0.588,4,9,0,spotify:track:40jxatV29fk82SAziDsPqN
The Other Side Of Paradise,How To Be A Human Being,Glass Animals,2016-08-26,320654,73,0.349,0.689,0.338,5.7e-05,0.0649,-7.634,0.0629,128.012,0.568,4,11,0,spotify:track:0rRjGruFonCGOt0S5zAJNQ
Bohemian Bird,Waking Up The Giants,Grizfolk,2015-12-04,222226,40,0.0294,0.435,0.637,0.00461,0.0971,-8.081,0.0514,145.034,0.173,3,1,0,spotify:track:4IJpSYe4IvgC3VyhY9NEsd
Restless,LA DIVINE,Cold War Kids,2017-04-07,292680,46,0.15,0.513,0.647,4.47e-06,0.214,-5.444,0.037,125.842,0.236,4,11,1,spotify:track:2Xzwy48kdZBWGo2lTc8fVn
Agnes,How To Be A Human Being,Glass Animals,2016-08-26,271672,58,0.0162,0.55,0.518,0.0286,0.114,-8.949,0.0246,165.033,0.233,4,1,0,spotify:track:6prvUr8l3t7x5GY7heQb5w
Broken Whiskey Glass,Stoney (Deluxe),Post Malone,2016-12-09,233813,59,0.289,0.512,0.673,3.04e-06,0.126,-7.359,0.0523,99.84,0.11,4,0,1,spotify:track:5BoOzegGrg5XFRR8UBDtkF
DNA.,DAMN.,Kendrick Lamar,2017-04-14,185946,80,0.00454,0.638,0.523,0.0,0.0842,-6.664,0.357,139.913,0.422,4,1,1,spotify:track:6HZILIRieu8S0iqY8kIKhj
Technicolour Beat,Oh Wonder,Oh Wonder,2015-09-04,180119,61,0.626,0.597,0.363,2.96e-05,0.0848,-10.365,0.0314,130.022,0.0785,4,5,0,spotify:track:5pLpkaIRobcvPnUmclNv6o
More Than You Know,More Than You Know,Axwell /\ Ingrosso,2017-05-24,203000,0,0.0306,0.641,0.731,0.0,0.258,-4.96,0.0339,123.048,0.505,4,5,0,spotify:track:3slBHvoQcO8HjscbP2QKk5
Oceans Away,GALLERY,A R I Z O N A,2017-05-19,194013,61,0.13,0.617,0.642,0.157,0.0929,-8.624,0.0334,105.885,0.221,4,8,1,spotify:track:6A8dnC0xkiuWN4BshmTB2I
Believer,Believer,Imagine Dragons,2017-01-31,203782,0,0.0417,0.772,0.775,0.0,0.226,-4.388,0.112,124.978,0.748,4,10,0,spotify:track:05KfyCEE6otdlT1pp2VIjP
Stand By Me,Songs From Final Fantasy XV,Florence + The Machine,2016-08-12,245780,61,0.841,0.613,0.335,0.000161,0.194,-6.791,0.0281,108.014,0.245,4,9,1,spotify:track:5XSU59wtE5CRCAEyHmmGy4
Cocoa Hooves,ZABA,Glass Animals,2014-06-03,271906,55,0.46,0.53,0.275,1.12e-05,0.0729,-13.868,0.0349,133.973,0.0698,4,2,0,spotify:track:4Qw1VBxYRX2ieU9CADu8Co
Glorious,Glorious,Belly,2017-04-07,195360,37,0.289,0.849,0.499,1.91e-06,0.0854,-6.654,0.0497,119.998,0.654,4,9,0,spotify:track:3DzqYuaGq19gpg8eeCpU7Y
T-Shirt,Culture,Migos,2017-04-07,242407,12,0.242,0.865,0.687,0.0,0.158,-3.744,0.217,139.023,0.486,4,10,0,spotify:track:7KOlJ92bu51cltsD9KU5I7
Cringe,Who Killed Matt Maeson,Matt Maeson,2017-03-31,215266,46,0.0749,0.727,0.47,0.0,0.0884,-7.698,0.0588,126.044,0.397,4,5,1,spotify:track:1OV5oUwrL4iw0UTfZy3pGe
Unforgettable,Life Changes,Thomas Rhett,2017-09-08,157080,68,0.0303,0.661,0.75,0.000132,0.0849,-5.497,0.0314,130.077,0.828,4,7,1,spotify:track:30MM5jWpUmOxtTNd9Ey5LZ
The Struggle,Waking Up The Giants,Grizfolk,2015-12-04,213360,52,0.000168,0.553,0.843,0.25,0.335,-4.664,0.0298,112.967,0.67,4,11,0,spotify:track:4HSzQXLeBD9fV6U4RVDHg9
Plain Jane,Still Striving,A$AP Ferg,2017-08-18,173600,75,0.0651,0.797,0.844,0.0,0.087,-5.482,0.275,170.142,0.52,4,11,1,spotify:track:4dVpf9jZjcORqGTLUaeYj9
Sun Is Shining,Sun Is Shining,Axwell /\ Ingrosso,2015-06-12,255066,0,0.0863,0.284,0.774,0.0,0.0744,-3.039,0.0685,131.381,0.362,4,2,1,spotify:track:5kBHjpK4YGXVnOMXDUDjgX
Silhouette,Silhouettes,Aquilo,2017-01-27,230416,62,0.702,0.234,0.414,0.0,0.0391,-8.371,0.0476,78.216,0.144,3,1,1,spotify:track:0ygOBx60exSPPvnI4sS28r
HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,177000,83,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0.102,150.011,0.421,4,1,0,spotify:track:7KXjTSCq5nL1LoYtL7XAwS
Conrad,Rennen,SOHN,2017-01-13,223095,0,0.0357,0.606,0.734,0.000115,0.239,-4.983,0.0298,79.982,0.595,4,11,0,spotify:track:65fXbdx5DstarNIGI7NRdS
No Option,Stoney (Deluxe),Post Malone,2016-12-09,179826,67,0.0757,0.575,0.734,0.0,0.241,-4.949,0.057,83.986,0.494,4,2,1,spotify:track:6M0IsaUX4GNyto4niSegfI
Whatever It Takes,Evolve,Imagine Dragons,2017-06-23,201240,0,0.0392,0.675,0.662,0.0,0.128,-4.989,0.0318,134.936,0.536,4,1,1,spotify:track:73NbHgUZ51H65Bfo2HFKUi
Bigger Than Me,I Decided.,Big Sean,2017-02-03,292520,50,0.269,0.366,0.639,0.0,0.29,-7.98,0.101,83.339,0.168,5,10,0,spotify:track:6zpXc7WJ3TqYWb02B6sKyF
The Beast,Everready,Tech N9ne,2006,219573,59,0.287,0.703,0.909,0.0,0.401,-4.205,0.46,204.208,0.777,4,5,0,spotify:track:2ZaWL12apL7wmNPuJMlny4
Love Is Mystical,Love Is Mystical,Cold War Kids,2017-02-02,214373,0,0.00506,0.566,0.865,1.31e-05,0.215,-5.082,0.0387,105.964,0.684,4,0,0,spotify:track:4RJnzmVL12aIuWpMoXu2u4
That's What I Like,24K Magic,Bruno Mars,2016-11-17,206693,83,0.013,0.853,0.56,0.0,0.0944,-4.961,0.0406,134.066,0.86,4,1,1,spotify:track:0KKkJNfGyhkQ5aFogxQAPU
Sorry,Sorry,Nothing But Thieves,2017-07-19,214709,0,0.00213,0.669,0.777,5.5e-05,0.128,-4.562,0.0269,128.004,0.523,4,8,0,spotify:track:7cJgiPDOlpnYjlBPcrT9kW
Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,220293,82,0.215,0.63,0.804,0.0,0.253,-4.183,0.0363,123.146,0.492,4,6,1,spotify:track:3a1lNhkSLSkpJE4MSHpDu9
Way down We Go,A/B,KALEO,2016-06-10,213706,78,0.579,0.489,0.505,0.000333,0.104,-8.022,0.117,163.255,0.337,4,10,0,spotify:track:0y1QJc3SJVPKJ1OvFmFqe6
404 (feat. CyHi The Prynce & Money Makin' Nique),404 (feat. CyHi The Prynce & Money Makin' Nique),Matt Citron,2016-09-09,274041,13,0.018,0.807,0.683,0.0,0.643,-8.331,0.25,120.099,0.44,4,11,0,spotify:track:5cGXvggpbxws24haLFJx5j
Past Lives,Dopamine,BØRNS,2015-10-16,274320,64,0.0664,0.743,0.685,6.75e-05,0.0884,-6.863,0.0975,109.988,0.443,4,4,1,spotify:track:1Dr5JexwA15wmKe7Y7maA9
The System Only Dreams in Total Darkness,The System Only Dreams in Total Darkness,The National,2017-05-11,236746,0,0.156,0.596,0.912,0.794,0.584,-6.74,0.211,110.013,0.371,4,0,0,spotify:track:5t8OscU60DLybml2sjwhri
