name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Miss,Pushy,SHEEP GOT WAXED,2016,207804,0,0.111,0.433,0.124,0.59,0.111,-15.839,0.0396,109.025,0.149,4,7,0,spotify:track:34EWhVFwCSVUCe4SYeaI4C,2016
Quand Vas Tu Rentrer ?,Melody's Echo Chamber,Melody's Echo Chamber,2012-09-25,260680,37,0.563,0.315,0.579,0.372,0.0735,-7.029,0.0328,92.715,0.0717,4,7,0,spotify:track:00YnfZzpODxlE6nNwfPCbv,2012
Dalkavuk - Baris K Edit,"Istanbul 70: Psych, Disco, Folk Edits by Baris K - Vol. II",Various Artists,2011-08-02,327893,0,0.129,0.731,0.668,0.002,0.0497,-9.406,0.0664,108.125,0.977,4,5,0,spotify:track:1F0k6Lfr9jp9g6H43YFYIc,2011
Slush Puppy,The OOZ,King Krule,2017-10-13,162656,0,0.619,0.48,0.446,0.772,0.346,-9.334,0.0296,85.756,0.0482,3,11,1,spotify:track:0BxNOkA70xxOXnCnYWFvyp,2017
Italove,L'uomo d'affari / Italove,EMMANUELLE,2016-05-27,319458,0,0.455,0.786,0.604,0.441,0.0688,-9.623,0.0521,120.413,0.7,4,11,1,spotify:track:2upjPXCYscwhOgazz6Remz,2016
La femme à la peau bleue,La femme à la peau bleue,Vendredi sur Mer,2016-04-08,207923,0,0.429,0.675,0.649,0.491,0.228,-5.053,0.0751,100.012,0.244,4,11,0,spotify:track:4zwPwQmq7sEEUIJU5jUAO2,2016
Indian Summer,Morrison Hotel,The Doors,1970-02-09,154066,53,0.859,0.495,0.154,0.139,0.106,-17.792,0.0301,102.673,0.147,4,2,1,spotify:track:2hdeaGl9nT3UoQIgSqctHj,1970
Tout petit la planète,Plastic Bertrand,Plastic Bertrand,1998-02-06,251773,28,0.0643,0.662,0.735,0.0488,0.151,-6.481,0.0301,118.678,0.664,4,10,0,spotify:track:6b193f6NTdtHy2AosF0zTX,1998
Eyes Without A Face,Rebel Yell,Billy Idol,1983-11-01,299240,0,0.0225,0.372,0.812,0.00168,0.273,-6.167,0.0507,84.641,0.636,4,9,1,spotify:track:0A1QehwXuYOGcIoZHy7UTb,1983
Orchard,Gruff EP,Fouk,2016-01-29,373845,20,0.000167,0.906,0.729,0.897,0.0414,-11.91,0.0616,118.005,0.964,4,5,0,spotify:track:7IzSCZ2yAT8BW5zcdfpcA3,2016
Parfum thérémine,Odyssée - EP,L'Impératrice,2015-10-12,304993,52,0.454,0.662,0.591,0.878,0.105,-10.907,0.033,102.045,0.204,4,6,0,spotify:track:76fdtNvwn6hkOmBvgOom7L,2015
Obvs,In Colour,Jamie xx,2015-06-01,231039,0,0.858,0.633,0.393,0.925,0.0817,-12.603,0.0393,152.044,0.423,4,5,0,spotify:track:50Dfp4PZQqvXLlniASKpTY,2015
Coeur d'artichaut,Dorothy - EP,Polo & Pan,2014-09-21,210492,0,0.162,0.704,0.724,0.0853,0.0816,-8.202,0.0459,96.994,0.507,4,0,0,spotify:track:1yMgUG3iaxUq5bzaNc1nFK,2014
Pale Blue Eyes,The Velvet Underground,The Velvet Underground,1969-03,339533,0,0.911,0.637,0.107,0.00146,0.103,-18.759,0.0349,82.879,0.296,4,5,1,spotify:track:1cG560wZP0s6fs1nsEVtQw,1969
Logos,The OOZ,King Krule,2017-10-13,230147,0,0.821,0.755,0.445,0.566,0.11,-13.343,0.0516,113.52,0.322,4,11,0,spotify:track:4xgHOLfSjtbrkUSY2sRMrv,2017
Itzehoe,Rivers Of The Red Planet,Max Graef,2014-04-07,295384,0,0.209,0.822,0.38,0.724,0.353,-14.132,0.231,116.884,0.788,4,6,1,spotify:track:6aSfoogK3Z3g8zWh16zS5T,2014
Dancity (feat. Athena),Dance Abilities,Marvin & Guy,2015-03-24,428029,2,0.3,0.719,0.726,0.831,0.19,-10.167,0.0665,89.997,0.43,4,1,0,spotify:track:4PXCK3NIfGzK3HV6jHK4Jo,2015
6 8,Bishouné: Alma del Huila (Deluxe Edition),Gabriel Garzón-Montano,2015-06-29,298780,0,0.883,0.787,0.0577,0.00133,0.0714,-13.125,0.0755,115.314,0.157,3,0,1,spotify:track:0sDOHfNJNrP4edRQU9wUQS,2015
House Of Cards,In Rainbows,Radiohead,2007-12-28,328293,0,0.278,0.71,0.496,0.581,0.101,-9.638,0.0297,111.662,0.637,4,5,1,spotify:track:3Jc6X15OZCCyhGSHBF4hwB,2007
FEAR.,DAMN.,Kendrick Lamar,2017-04-14,460573,65,0.604,0.588,0.479,7.2e-06,0.527,-7.039,0.281,150.414,0.434,4,1,1,spotify:track:23luOrEVHMfoX0AhfbQuS6,2017
Les filles désir,Les filles désir,Vendredi sur Mer,2017-04-21,197351,0,0.371,0.486,0.532,0.0757,0.0941,-8.0,0.0821,79.105,0.346,4,3,0,spotify:track:3YH8r4ajTrXf3p2NVR9HHv,2017
Nostalgic Feel,Vivid,Bedroom,2012-07-10,349984,0,0.519,0.572,0.659,0.431,0.0721,-9.954,0.0304,156.994,0.69,4,4,1,spotify:track:2GTvMc0CnmT48LPTG4zhxh,2012
When I Was Done Dying,Gliss Riffer,Dan Deacon,2015-02-23,258959,50,0.0449,0.426,0.815,0.0307,0.104,-7.566,0.0666,195.123,0.297,3,6,1,spotify:track:69L4d5HlE0YOCwWFYVFGoW,2015
Ways of the Sun,Ways of the Sun / Fornax,Frankey & Sandrino,2016-01-15,520107,31,0.00256,0.75,0.483,0.653,0.114,-12.543,0.0641,119.998,0.347,4,11,0,spotify:track:2vCDnUZgV23wTsG4L3AkC1,2016
Waves,Bahamas is Afie,Bahamas,2014-08-15,262653,0,0.513,0.547,0.524,0.000102,0.134,-7.415,0.0278,94.672,0.294,4,1,1,spotify:track:3WqCNJU0Fit5FFo7UdSEXM,2014
Narrow Margins,Sun Leads Me On,Half Moon Run,2015-10-23,250840,0,0.402,0.573,0.567,0.014,0.124,-10.003,0.0338,90.048,0.294,4,4,1,spotify:track:2DhdEshxsnz7V2AwxDKJbE,2015
Metatron,Psychic,DARKSIDE,2013-10-04,307222,0,0.293,0.556,0.23,0.82,0.141,-13.153,0.0329,70.012,0.0557,4,10,0,spotify:track:3dqzoQSIRAIhAYNcaEswr2,2013
The Secret,We Got A Love,Shit Robot,2014-03-17,408666,0,0.00277,0.8,0.577,0.257,0.135,-7.383,0.0651,119.993,0.964,4,9,0,spotify:track:0AIFptle72GBnZ1jYiqEVS,2014
Dance Yrself Clean,This Is Happening,LCD Soundsystem,2010-05-17,536471,60,0.00557,0.739,0.611,0.725,0.04,-9.829,0.0622,98.004,0.794,4,11,1,spotify:track:2cmRpmO04TLaKPzmAzySYZ,2010
We Never Change,Parachutes,Coldplay,2000-07-10,249400,63,0.535,0.433,0.288,0.000169,0.105,-10.801,0.0296,136.939,0.131,3,6,0,spotify:track:5TB6QgrF0RPIxSCGfRDLoe,2000
Dorothy,Caravelle,Polo & Pan,2017-05-19,316906,0,0.0219,0.799,0.445,0.458,0.0964,-9.617,0.0587,118.023,0.388,4,8,1,spotify:track:2ye1DwsMyV9eXMhkGuYoFL,2017
I Believe,Attack Decay Sustain Release,Simian Mobile Disco,2007,198560,0,0.00474,0.66,0.714,0.0157,0.0647,-4.814,0.192,97.17,0.79,4,6,1,spotify:track:0Dlje4jZvgaI5cbqAvkUXR,2007
Czech One,The OOZ,King Krule,2017-10-13,255136,0,0.935,0.402,0.211,0.0056,0.129,-14.339,0.0524,78.894,0.166,4,11,0,spotify:track:6pwh8jxrpOoXAXhjAhIvFE,2017
Nomalizo,Greatest Hits,Letta Mbulu,2015,308440,0,0.487,0.848,0.507,0.00464,0.0611,-10.094,0.0397,98.262,0.689,4,5,1,spotify:track:6gB3NJQ9dF5xoqUBKGX6Uz,2015
Skyscrapers,Of The Blue Colour of the Sky Extra Nice Edition,OK Go,2010-10-15,278173,34,0.483,0.844,0.421,0.167,0.108,-8.218,0.041,97.021,0.536,4,4,0,spotify:track:1nOZYCC3shcpMolB6ISf9w,2010
Pains,Silk Rhodes,Silk Rhodes,2014-12-01,191424,0,0.01,0.449,0.416,0.122,0.0778,-5.571,0.0608,140.804,0.103,3,0,1,spotify:track:52jCt6iAEPOzE8ZIjtdZVj,2014
Vanille fraise,Vanille fraise,L'Impératrice,2015,238183,61,0.0399,0.767,0.547,0.485,0.0949,-11.458,0.0474,103.03,0.66,4,7,0,spotify:track:7nZ9CzhiFRPhOQCn7eDSnn,2015
I'm Aquarius,Love Letters,Metronomy,2013-12-30,241634,0,0.252,0.759,0.492,0.000301,0.089,-7.795,0.0413,133.061,0.0901,4,0,1,spotify:track:5gRBzv7QQJXz7HkEJYBIyx,2013
Leif,Dome EP,Konstantin Sibold,2015-10-23,427118,15,0.00545,0.749,0.689,0.871,0.148,-9.55,0.048,118.005,0.143,4,2,1,spotify:track:0eCGN7Sa8q2zsjwdek8miw,2015
Bermondsey Bosom (Left),The OOZ,King Krule,2017-10-13,74810,0,0.802,0.371,0.799,0.000103,0.108,-10.872,0.184,94.482,0.471,4,4,1,spotify:track:0YPflIsuvtoBVFeWf7uQoH,2017
Blue Train Lines,Love What Survives,Mount Kimbie,2017-09-08,250150,50,0.249,0.405,0.695,0.00703,0.22,-10.864,0.0369,169.971,0.257,4,2,0,spotify:track:5MZbUlBSqkRJkc0nxp730C,2017
In The Dark (feat. Nomi Ruiz),Happiness,Eli Escobar,2016-09-16,316145,14,0.0111,0.818,0.573,0.309,0.0887,-9.159,0.0537,119.005,0.469,4,4,0,spotify:track:25x7lRmFH4PALoJ2IBGtV4,2016
Canopée,Canopée - EP,Polo & Pan,2016-06-10,275766,0,0.112,0.706,0.655,0.0116,0.0926,-7.388,0.0308,96.01,0.386,4,5,0,spotify:track:3ty9szH0lbnQe3UEbr96q5,2016
Users Guide To,Hologram,Glenn Astro,2015-04-06,312000,3,0.499,0.915,0.741,0.856,0.112,-8.781,0.205,120.032,0.368,4,1,1,spotify:track:650dalOFP8ykLa6ibnG4ik,2015
Nocturnal Me,Ocean Rain,Echo & the Bunnymen,1984-05-04,298933,43,0.557,0.471,0.562,0.00365,0.157,-11.37,0.0288,85.08,0.646,4,9,0,spotify:track:5V9FrOjiLqd9eyiny1s78a,1984
Mirage,Boo Boo,Toro y Moi,2017-07-07,309226,0,0.18,0.666,0.748,0.451,0.167,-4.703,0.0393,100.008,0.604,4,10,0,spotify:track:0zMrrQsrj4ZG2B7FNY5XJ1,2017
Velvet Gloves & Spit,"Sincerely, Future Pollution",Timber Timbre,2017-04-07,274773,38,0.254,0.384,0.441,0.276,0.0725,-10.411,0.029,81.493,0.22,4,9,1,spotify:track:5Y8IMaCAPl996kjC4uo9Tx,2017
Operator (DJ Koze Radio Edit),Operator (DJ Koze Radio Edit),Låpsley,2016-08-26,202385,0,0.00439,0.734,0.736,0.00112,0.0761,-6.452,0.0435,120.035,0.617,4,2,1,spotify:track:7oHVl6AUZirYtig6x6zhCK,2016
"Suzanne - Live at Philharmonic Hall, New York, NY - October 1969",Black Gold (Expanded Edition),Nina Simone,1970,302946,15,0.964,0.489,0.409,0.00196,0.941,-15.912,0.103,121.097,0.649,4,0,1,spotify:track:3lQz5slqc5RKNG6jiwf7Zc,1970
Sonate pacifique,Sonate pacifique - EP,L'Impératrice,2014-09-16,348944,0,0.627,0.557,0.534,0.0192,0.425,-8.863,0.0328,99.99,0.226,4,5,1,spotify:track:5Cs03vgzmWuvz7wXkm4gJ9,2014
We Can't Be Friends,We Can't Be Friends,Dream Koala,2012-08-15,208451,0,0.897,0.576,0.283,0.892,0.0841,-13.004,0.039,119.277,0.252,4,2,1,spotify:track:7ydeKIGuAdxqkp7OsWGZx6,2012
This Is It (Body Mix),This Is It (Body Mix),Baba Stiltz,2017-06-23,376630,12,0.0481,0.847,0.609,0.897,0.0934,-10.343,0.0937,125.004,0.196,4,6,0,spotify:track:1OHc7laQzoUp7AOyL3GCGl,2017
Suzanne,Songs Of Leonard Cohen,Leonard Cohen,1967-12-27,229293,64,0.922,0.409,0.172,0.00112,0.111,-16.44,0.0389,132.151,0.352,4,6,0,spotify:track:2L93TdW2GMue1H2zlkt30F,1967
Positif,Lambs Anger,Mr. Oizo,2008-11-17,171120,0,0.000409,0.744,0.928,0.624,0.132,-5.628,0.0495,123.014,0.507,4,10,0,spotify:track:6vzvwAIuE8W0q9z6XC9mLz,2008
Waiting In Vain - Alternate Version,Exodus (Deluxe Edition),Bob Marley & The Wailers,1977-01-01,284266,0,0.00181,0.748,0.523,0.00123,0.0567,-11.793,0.0977,80.841,0.793,4,1,1,spotify:track:6PxzyzibuYB28I32MK4MWs,1977
PRIDE.,DAMN.,Kendrick Lamar,2017-04-14,275253,80,0.0786,0.665,0.535,1.68e-05,0.154,-7.056,0.0572,138.842,0.37,4,4,0,spotify:track:6IZvVAP7VPPnsGX6bvgkqg,2017
Crimson,The Outsiders,Ross from Friends,2017-08-04,444800,27,0.0312,0.8,0.979,0.512,0.13,-6.354,0.0811,119.999,0.514,4,4,1,spotify:track:3q47RufCCzXrimbWapHHY5,2017
Juan,Sponge Cake,Winston Surfshirt,2017-09-29,123756,22,0.125,0.922,0.348,0.027,0.165,-11.998,0.28,93.018,0.609,4,11,0,spotify:track:2eMSmhvagbUDfMjFgIrhjP,2017
FEEL.,DAMN.,Kendrick Lamar,2017-04-14,214826,66,0.137,0.746,0.798,0.0,0.139,-8.382,0.349,109.968,0.553,4,0,1,spotify:track:2LTlO3NuNVN70lp2ZbVswF,2017
Hand in the Fire (feat. Charli XCX),Hand in the Fire,Mr. Oizo,2015-12-11,179989,0,0.0536,0.699,0.95,0.0249,0.329,-3.943,0.0699,82.996,0.874,4,11,0,spotify:track:5yYfClB9zkGh95VEudbeD5,2015
Realla,Desiderium,TOKiMONSTA,2014-09-23,210448,0,0.447,0.636,0.6,0.0229,0.129,-8.452,0.0487,129.978,0.236,4,5,1,spotify:track:3kqsetsOxWWCkE3UrbZCGV,2014
White Rabbit,Surrealistic Pillow,Jefferson Airplane,1967,150640,71,0.486,0.551,0.293,0.000273,0.0864,-12.503,0.0272,106.798,0.322,4,2,1,spotify:track:4vpeKl0vMGdAXpZiQB2Dtd,1967
Nothing Lasts,Grow,Bedroom,2014-05-20,291785,2,0.0116,0.507,0.666,0.343,0.129,-8.362,0.029,77.979,0.185,4,10,1,spotify:track:3GOO81yxm6EZLkiXLs2sx2,2014
Brother,Salad Days,Mac DeMarco,2014-04-01,212746,0,0.13,0.568,0.674,0.0634,0.431,-5.194,0.0301,93.194,0.512,4,3,0,spotify:track:2xcRTNxhhCL5HbCp4UGkjh,2014
I'm On Fire,Born In The U.S.A.,Bruce Springsteen,1984-06-04,155880,74,0.589,0.62,0.446,0.0299,0.0727,-14.451,0.0347,88.591,0.868,4,1,0,spotify:track:3PzsbWSQdLCKDLxn7YZfkM,1984
Today,Surrealistic Pillow,Jefferson Airplane,1967,177546,55,0.695,0.51,0.31,0.0,0.128,-13.647,0.0291,90.074,0.291,4,2,0,spotify:track:0yLfXULLuRtVj2L4DIrwO7,1967
Deserve It,Dark Sky Paradise (Deluxe),Big Sean,2015-02-23,261213,0,0.0793,0.672,0.711,0.0,0.76,-5.492,0.337,140.058,0.518,4,1,0,spotify:track:01KdLUbWrTXdviMq7bDhip,2015
Intentions,Rules,The Whitest Boy Alive,2009-02-27,219426,48,0.114,0.888,0.415,0.13,0.0905,-6.583,0.0405,93.714,0.671,4,0,1,spotify:track:2YzoCJ0Litn3vZi9ro3CuA,2009
Amaneciendo,"Greatest Cumbia Classics Of Colombia, Vol. 3",Various Artists,2015-07-01,230426,24,0.125,0.686,0.705,0.0167,0.261,-9.03,0.0582,101.66,0.693,4,7,0,spotify:track:13R9B0HobOclYlA3sjs8cn,2015
Dance of Maria,Mosaic of the Orient,Elias Rahbani,1992,167293,0,0.0107,0.469,0.513,0.549,0.286,-11.526,0.0334,99.691,0.478,4,1,1,spotify:track:4Pz6wlElvVe3JsLaRsj6kW,1992
Neon Bible,Neon Bible,Arcade Fire,2007,136640,44,0.909,0.583,0.284,0.468,0.0628,-19.127,0.1,86.789,0.0474,4,9,1,spotify:track:4FqnaZALqOYyWediiaAToi,2007
Electric Feel,Oracular Spectacular,MGMT,2007-12-14,229640,76,0.0709,0.763,0.803,0.285,0.348,-3.713,0.0351,103.04,0.561,3,1,1,spotify:track:3FtYbEfBqAlGO46NUDQSAt,2007
Feel It All Around,Life of Leisure,Washed Out,2009,192080,0,0.000105,0.34,0.737,0.762,0.0699,-4.681,0.0582,172.022,0.499,4,8,1,spotify:track:79H5IKTwXdAbqypigoP832,2009
I Need A Woman,Dreamin,Hockey Dad,2014-11-28,264106,0,0.0391,0.309,0.799,3.59e-05,0.113,-8.471,0.0549,143.014,0.396,4,1,1,spotify:track:18ztWAZG1RCysnYJY76Ox4,2014
"Call It Fate, Call It Karma",Comedown Machine,The Strokes,2013-03-25,204773,71,0.983,0.544,0.241,0.774,0.101,-14.779,0.03,109.437,0.359,4,4,0,spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,2013
Empire Ants (feat. Little Dragon),Plastic Beach,Gorillaz,2010-03-03,283573,69,0.181,0.601,0.772,0.0543,0.0928,-4.137,0.031,99.445,0.294,4,0,0,spotify:track:3a6PN6BRB8PP3ms48s7kU1,2010
For Emma,"For Emma, Forever Ago",Bon Iver,2008-05-12,220732,0,0.468,0.668,0.611,0.301,0.124,-11.15,0.0361,110.66,0.561,4,0,1,spotify:track:32GB3adWoDcuoozjkrYJmI,2008
Coconuts,Heavy on the Bacon,Fouk,2015-10-02,387226,0,0.0667,0.957,0.362,0.655,0.412,-10.776,0.15,119.011,0.793,4,9,0,spotify:track:3FE4QdbM3YurGUzY7dRTgC,2015
The Suburbs,The Suburbs,Arcade Fire,2010-01-01,315200,0,0.0577,0.618,0.676,0.0197,0.343,-6.127,0.0265,117.783,0.537,4,6,0,spotify:track:6bZaumwiWjUSLSLqUyxetj,2010
Skype,DJ-Safety,Suzanne Kraft,2016-03-25,292885,7,0.00238,0.811,0.565,0.898,0.0772,-11.455,0.0503,118.879,0.512,4,2,1,spotify:track:2KZwfmaQL0p1xW2Aunv2FE,2016
The Train of Fantastic,Superior Conjunction EP,Marvin & Guy,2017-06-16,721485,25,7.51e-05,0.565,0.847,0.856,0.108,-9.255,0.0429,123.005,0.294,4,1,1,spotify:track:4bBbeSmMo42fFl9Ge3OFB6,2017
In Dreams,m_o_d_e_s,tomemitsu,2017-05-12,245613,39,0.862,0.468,0.414,0.0001,0.115,-12.209,0.0334,171.869,0.497,4,3,0,spotify:track:6MDD9FALcd10wfV7DsIKKZ,2017
"Romeo, Romeo",The Outsiders,Ross from Friends,2017-08-04,468313,32,0.104,0.74,0.95,0.852,0.102,-4.965,0.0533,124.99,0.904,4,3,0,spotify:track:2mKtGrZDFuDqV5Hf70JISz,2017
Dream Girl,Eden,Ivy Sole,2016-04-25,169479,49,0.868,0.656,0.365,0.0397,0.107,-15.086,0.22,93.623,0.354,4,2,1,spotify:track:2RtNAFhj8eeu8ng4IJBlM5,2016
After the Storm,After the Storm,Willie West,2016-08-19,288522,12,0.785,0.535,0.407,0.0,0.219,-8.506,0.0384,138.127,0.376,3,9,0,spotify:track:4G2xPSJPoFxNcxL6RtKoh5,2016
Sister and Suns,Dynasty House,Hooded Fang,2017-05-19,229266,0,0.172,0.552,0.952,0.701,0.203,-5.612,0.0494,98.432,0.61,4,4,0,spotify:track:3MgTizWbCkOstc6ViWkfi3,2017
