name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
In the Bag,GO:OD AM,Mac Miller,2015-09-18,275506,52,0.301,0.717,0.634,0.0,0.396,-6.887,0.409,143.812,0.564,4,1,1,spotify:track:7odIekt1GqLVEAAWdnd9mJ
Gasoline,BADLANDS (Deluxe),Halsey,2015-08-28,199593,73,0.223,0.731,0.58,0.0,0.129,-7.328,0.0399,119.997,0.319,4,10,0,spotify:track:2IO7yf562c1zLzpanal1DT
Closer,Closer,The Chainsmokers,2016-07-29,244960,85,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,0.661,4,8,1,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw
Morocco,Mountains Beaches Cities,Moon Taxi,2013-09-10,208080,0,0.0178,0.616,0.894,0.000103,0.153,-3.209,0.0508,115.077,0.542,4,1,0,spotify:track:30lgD1UuHczwlxa7NZFeSQ
Temporary Love,Temporary Love,The Brinks,2015-12-04,205129,46,0.656,0.714,0.555,0.000289,0.11,-7.55,0.0459,102.971,0.329,4,6,0,spotify:track:2U6hcDLZHYRSd9Up0mMe9W
Young God,BADLANDS,Halsey,2015-08-28,180088,41,0.324,0.449,0.599,4.09e-06,0.114,-6.509,0.0405,119.868,0.198,4,9,0,spotify:track:0L9XOBm0fS13CgeF3HZg30
Give It All,What Went Down,Foals,2015-08-28,287213,0,0.141,0.494,0.566,0.567,0.146,-8.116,0.0328,118.037,0.142,4,4,0,spotify:track:1dawtCVI1A3nYxJX32lBH2
Shaded Summers,Shaded Summers,Night Lovell,2015-08-04,315706,0,0.458,0.754,0.256,4.92e-05,0.497,-15.281,0.129,143.968,0.17,4,1,1,spotify:track:3NU1XhybhuSVeV2Pk292Lj
Youth,How To Be A Human Being,Glass Animals,2016-08-26,230693,67,0.129,0.648,0.718,0.00156,0.112,-7.765,0.0298,96.017,0.785,4,9,0,spotify:track:1LPGwuFgIzbJoShfDdw7MY
Just Tryna,Red Teenage Melody,Night Lovell,2016-06-14,354063,0,0.123,0.578,0.42,1.66e-05,0.196,-12.558,0.19,159.853,0.208,4,5,1,spotify:track:4FpCrKW1dXWS36SskG7rhj
East of Eden,Kicker,Zella Day,2015-01-01,186213,68,0.0355,0.598,0.803,9.66e-05,0.107,-3.203,0.0349,122.889,0.567,4,1,0,spotify:track:2Wc2tcQl7cPetPKeXH3GD3
Suspicious,Mountains Beaches Cities,Moon Taxi,2013-09-10,263773,0,0.105,0.608,0.944,0.0,0.103,-3.643,0.073,117.043,0.707,4,9,0,spotify:track:0KCGcDmbqpQf1oh0WWKcD9
Control,BADLANDS (Deluxe),Halsey,2015-08-28,214761,72,0.399,0.549,0.675,0.0,0.181,-5.637,0.0332,119.898,0.206,4,4,0,spotify:track:3SKzTIl9mW0DadTys9SFo3
Hard For,Islah (Deluxe),Kevin Gates,2016-01-29,247600,65,0.0401,0.716,0.485,0.0,0.277,-8.241,0.237,148.141,0.556,4,8,1,spotify:track:0YSTRuZ7elW9CEBfZJW5Js
Dollhouse,Cry Baby (Deluxe Edition),Melanie Martinez,2015-08-14,231853,74,0.22,0.725,0.708,0.0,0.777,-5.331,0.0756,130.029,0.555,4,5,0,spotify:track:6wNeKPXF0RDKyvfKfri5hf
Hurt,Unearthed,Johnny Cash,2003-01-01,216533,54,0.719,0.544,0.378,0.00035,0.105,-8.607,0.0264,91.078,0.149,4,9,0,spotify:track:5rpRzNcJZqKQXk9PIjreB6
Electric Love,Dopamine,BØRNS,2015-10-16,218106,82,0.00543,0.611,0.797,0.00137,0.26,-7.627,0.0533,120.041,0.518,4,6,0,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ
I Don't Wanna Be In Love (Dance Floor Anthem),Good Morning Revival,Good Charlotte,2008-05-20,244000,60,0.0226,0.64,0.884,0.0,0.187,-2.609,0.0428,124.968,0.573,4,6,1,spotify:track:6BLLQndvA0rLbLcIZmuuEJ
HandClap,HandClap,Fitz and The Tantrums,2016-03-25,193173,47,0.00615,0.633,0.833,0.000148,0.0827,-3.001,0.043,139.963,0.693,4,8,1,spotify:track:0y3fi7fknIXOxnkbUgzT3n
Doing It To Death,Doing It To Death,The Kills,2016-03-01,247793,0,0.278,0.637,0.686,0.00702,0.0576,-8.03,0.0568,132.992,0.652,4,9,1,spotify:track:2TIkFs5pxXInJ2galj2rBx
Drive,BADLANDS (Deluxe),Halsey,2015-08-28,258764,57,0.239,0.571,0.585,0.00016,0.133,-8.392,0.0494,113.973,0.291,4,9,0,spotify:track:3ek4HgBlmvkTWgfT5sTSe9
Harlem,A Bad Girl In Harlem,New Politics,2013-05-17,163626,59,0.00189,0.603,0.952,0.000445,0.317,-3.699,0.0947,133.97,0.588,4,6,1,spotify:track:573latfTMO7SpGtStVrQx5
Human Sadness,Tyranny,The Voidz,2014-09-23,656836,0,0.22,0.229,0.761,0.808,0.113,-4.673,0.0469,121.623,0.132,4,0,1,spotify:track:2avCzL6HtaJ5Nspq2fVFQe
