name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
Katie Queen Of Tennessee,Apache Relay,The Apache Relay,2014-01-01,204653,0,0.101,0.56,0.913,0.000207,0.255,-5.388,0.0308,127.022,0.723,4,2,1,spotify:track:5iXuX70Sxp6sKdumBcQQW7
Borderline,Borderline,Madeline Juno,2018-06-15,207992,32,0.115,0.659,0.626,0.0,0.139,-5.904,0.0433,126.972,0.481,5,8,0,spotify:track:5Bs2WLFNYyPONV6FiLVUTy
Winter of '98,Winter of '98,Cayucas,2018-11-30,222613,0,0.312,0.749,0.708,1.72e-06,0.236,-5.84,0.0393,120.058,0.89,4,7,1,spotify:track:7Fba2vv2ye3iNplGLLkIy1
Social Cues,Social Cues,Cage The Elephant,2019-04-19,219053,66,0.0119,0.668,0.913,6.7e-06,0.111,-3.097,0.0348,132.039,0.933,4,9,1,spotify:track:1KuVdyg8d6NlRhbpHxg5UF
Reckless Lover,Welcome Back,Handsome Ghost,2018-01-26,250623,33,0.117,0.524,0.528,0.137,0.0638,-9.765,0.0303,116.979,0.458,4,9,1,spotify:track:4GaFm87ain13qtg3CkWR8b
Talia,Talia,King Princess,2018-04-13,207720,62,0.549,0.401,0.507,0.0,0.164,-7.001,0.089,180.159,0.236,4,2,1,spotify:track:53jbdPQBaH6WaQvW0zmGBs
Black Madonna,Social Cues,Cage The Elephant,2019-04-19,226533,64,0.00122,0.705,0.728,0.0693,0.0753,-3.184,0.035,109.991,0.966,4,4,0,spotify:track:4Y6GIje3GErVRIq1Ff5BJq
Are You Ready For Love? - Remastered,Diamonds (Deluxe),Elton John,2017-11-10,212440,64,0.254,0.803,0.748,0.00212,0.113,-5.221,0.0314,116.532,0.752,4,2,1,spotify:track:3D15FZXmjfna7aFfKmEajd
Hymn for the Weekend,A Head Full of Dreams,Coldplay,2015-12-04,258266,85,0.211,0.491,0.693,6.92e-06,0.325,-6.487,0.0377,90.027,0.412,4,0,0,spotify:track:3RiPr603aXAoi4GHyXx0uy
Was It Something I Said,Was It Something I Said,MyKey,2019-07-26,220588,33,0.618,0.587,0.724,0.000166,0.157,-6.775,0.0321,106.994,0.837,4,6,1,spotify:track:2BGJxKzEcF2YnSzV1ov2Nm
Honeybee,Living Mirage,The Head And The Heart,2019-05-17,196055,67,0.118,0.642,0.52,0.000509,0.552,-7.886,0.0387,136.014,0.488,4,9,1,spotify:track:5CalS8Gn69OOrR9aiw0ZO9
Erinner mich dich zu vergessen - Radio Version,Erinner mich dich zu vergessen,Yvonne Catterfeld,2006-10-06,206600,17,0.526,0.555,0.559,0.0,0.102,-5.87,0.0288,129.977,0.336,4,0,0,spotify:track:12SiKF2gB7Rpfwu1Ymbtrk
Louisa,Strange Trails,Lord Huron,2015-04-07,189669,46,0.658,0.64,0.802,0.582,0.256,-6.025,0.0281,130.035,0.689,4,2,1,spotify:track:4BzUOXsZ3DqryXFi1bB5aV
Everything (feat. Rezar),Everything (feat. Rezar),Nisse,2018-09-28,228093,9,0.523,0.664,0.404,0.03,0.121,-8.286,0.0349,122.935,0.266,4,1,0,spotify:track:6qwEbTwZeS6YfNlOanBu7J
Fahrrad,Fahrrad,Juli,2019-04-26,184266,41,0.113,0.761,0.691,1.39e-05,0.137,-6.444,0.0322,129.004,0.458,4,0,0,spotify:track:0uc1O8BfCudfUbIVuwZwLm
You're Somebody Else,You're Somebody Else,flora cash,2018-06-19,218883,75,0.841,0.713,0.452,0.0038,0.105,-9.638,0.0295,102.963,0.235,4,1,1,spotify:track:0pdKRp2sUthTPe7RLWpPqQ
Rucksack,Die Reise,Max Giesinger,2018-11-23,213933,25,0.172,0.727,0.61,0.0,0.126,-6.084,0.0429,117.05,0.591,4,9,1,spotify:track:1VVigdRRsCMxJMA8289hvz
Mut,A!,Alexa Feser,2019-05-10,249124,48,0.871,0.59,0.355,1.01e-06,0.11,-9.993,0.0455,140.119,0.27,4,11,0,spotify:track:2KQePqi9J0M0boApRntwmz
Breaking Down,"""Let's Rock""",The Black Keys,2019-06-28,205037,38,0.00433,0.444,0.738,0.00211,0.165,-5.351,0.0312,107.585,0.464,4,2,1,spotify:track:4s7DGDyfSty3AS71Xrtt1D
Solid Action,Solid Action,CHAMPS,2019-01-22,261014,26,0.00211,0.731,0.692,0.014,0.694,-5.755,0.0249,109.998,0.596,4,11,0,spotify:track:4ASz3epE0CAmVFV0L2DGoP
(I'm Gonna) Love Me Again,Rocketman (Music From The Motion Picture),Elton John,2019-05-24,250773,56,0.0576,0.596,0.882,0.0,0.0757,-3.559,0.0341,127.993,0.846,4,1,1,spotify:track:1q8lLOgfciaGLwXCvOpH6w
slow motion,slow motion,flor,2019-03-08,180773,0,0.00919,0.705,0.681,3.77e-06,0.275,-4.776,0.0263,103.032,0.76,4,1,1,spotify:track:68f2VCzxSXNdHXMpZKLacF
"Who Are You, Really?",Reds,Mikky Ekko,2010-06-29,147000,0,0.002,0.643,0.726,4.52e-06,0.0766,-6.219,0.0476,143.97,0.725,3,10,0,spotify:track:2zXKqJFHefEgjlg3rYW7Rx
Way out There,Strange Trails,Lord Huron,2015-04-07,250359,48,0.933,0.549,0.454,0.0246,0.521,-7.898,0.0297,127.038,0.0513,4,11,0,spotify:track:1cS1SMKBkrqFGVIjUXbWAm
Style,Imagination,Foster The People,2019-06-21,223906,0,0.00633,0.59,0.906,0.00151,0.386,-2.892,0.0618,111.997,0.541,4,5,1,spotify:track:55sjP3Ng5T0Lcb6dkHdaM8
Weinen,Lieder (Deluxe Version),Adel Tawil,2013-11-08,195840,36,0.0241,0.678,0.829,7.91e-06,0.157,-4.19,0.0269,129.935,0.876,4,6,0,spotify:track:6XHOM7cblqWVXeRFM1fnaq
Cemetery,Cemetery,COIN,2018-11-16,177146,0,0.148,0.655,0.856,3.67e-06,0.126,-4.615,0.0315,126.984,0.941,4,1,0,spotify:track:4hnjS0dbHpJwBlCkEAKVyX
I Will Be Back One Day,Lonesome Dreams,Lord Huron,2012-10-09,205906,46,0.396,0.577,0.738,4.05e-05,0.234,-6.197,0.0361,123.983,0.489,4,9,1,spotify:track:5n2AfMKgfiSWFXdwgUQqtN
Good Morning,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,236173,21,0.307,0.766,0.699,0.000411,0.15,-6.776,0.0305,115.03,0.82,4,9,0,spotify:track:1VL13edj8tNFMc2nJZfQsT
No Plan,"Wasteland, Baby!",Hozier,2019-03-01,331013,54,0.115,0.456,0.75,1.69e-05,0.114,-4.609,0.0444,80.019,0.564,4,9,0,spotify:track:4byXh93siQtzKLdjKuJaAF
No Hook,6 Rings 2 (No Dj),OJ Da Juiceman,2013-05-23,167471,42,0.00013,0.805,0.385,0.0,0.28,-7.723,0.1,128.998,0.048,4,1,1,spotify:track:5O05ZafSo9kLXOSaoTYi0o
Drive Away,Eternal Reach,The Brummies,2018-04-06,274325,0,0.154,0.476,0.626,3.23e-05,0.0762,-4.789,0.0325,104.44,0.528,4,5,0,spotify:track:2eWigKu3KImA4oJyF6OAYM
Wenn ich angekommen bin,DNA,Madeline Juno,2017-09-08,275146,27,0.96,0.739,0.36,0.0,0.177,-8.993,0.0345,109.134,0.633,4,5,1,spotify:track:2lBDPsdFz1IAFMt04EmIRi
Imagination,Imagination,Foster The People,2019-06-21,256266,72,0.115,0.744,0.642,3.95e-05,0.279,-4.6,0.031,94.988,0.63,4,2,0,spotify:track:2flxduIqEbsicdmPyj1WVW
Roller,Roller,Apache 207,2019-08-23,158853,59,0.0303,0.928,0.758,0.00446,0.29,-6.471,0.143,128.015,0.729,4,10,0,spotify:track:5dhQeuLGmlhfwlI6BWfSpo
Besser mit Dir,Besser mit Dir,Jeanette Biedermann,2019-08-16,195453,18,0.465,0.624,0.657,0.0,0.772,-6.459,0.0333,96.038,0.389,4,5,1,spotify:track:7A6oTWVdgpsBdHkSerTc5c
Automatisch,Automatisch,Madeline Juno,2019-05-31,195159,25,0.0632,0.709,0.739,0.0,0.234,-5.914,0.0486,123.032,0.406,4,0,0,spotify:track:4x1efDhTmQUlmPPl8SQEHe
Hope (feat. Naomi Wild),Hope (feat. Naomi Wild),Tim Legend,2016-11-22,173931,29,0.196,0.822,0.6,0.0,0.0835,-6.235,0.331,142.923,0.281,4,11,0,spotify:track:2v7EYRJaqHg29z1jnx59yI
Ich will immer wieder... dieses Fieber spür'n,So Wie Ich Bin,Helene Fischer,2009-01-01,210133,60,0.246,0.723,0.899,0.0,0.118,-2.428,0.0345,121.054,0.591,4,2,0,spotify:track:70fRUZsAxNKuxTy8gp4nKT
Shine A Little Light,"""Let's Rock""",The Black Keys,2019-06-28,196776,57,0.0217,0.44,0.719,5.09e-06,0.0663,-6.645,0.0445,111.398,0.523,4,8,0,spotify:track:365TSrFPqM66giaxJuafR3
Your Song,Elton John,Elton John,1970-04-10,241786,79,0.828,0.554,0.315,5.53e-06,0.101,-11.028,0.0298,128.157,0.325,4,3,1,spotify:track:38zsOOcu31XbbYj9BIPUF1
Everything's Fine,Everything's Fine,Jamie Drake,2018-08-09,209160,41,0.832,0.484,0.417,0.000199,0.0723,-8.956,0.0326,117.895,0.156,4,4,0,spotify:track:6SRzKq8y1qHT2aSKphQ03C
